"Species" "NN" "NN.Species"
"1" "setosa" 18 "setosa"
"2" "setosa" 35 "setosa"
"3" "setosa" 48 "setosa"
"4" "setosa" 48 "setosa"
"5" "setosa" 38 "setosa"
"6" "setosa" 19 "setosa"
"7" "setosa" 48 "setosa"
"8" "setosa" 40 "setosa"
"9" "setosa" 39 "setosa"
"10" "setosa" 35 "setosa"
"11" "setosa" 49 "setosa"
"12" "setosa" 30 "setosa"
"13" "setosa" 2 "setosa"
"14" "setosa" 39 "setosa"
"15" "setosa" 34 "setosa"
"16" "setosa" 34 "setosa"
"17" "setosa" 11 "setosa"
"18" "setosa" 1 "setosa"
"19" "setosa" 6 "setosa"
"20" "setosa" 22 "setosa"
"21" "setosa" 32 "setosa"
"22" "setosa" 20 "setosa"
"23" "setosa" 7 "setosa"
"24" "setosa" 27 "setosa"
"25" "setosa" 12 "setosa"
"26" "setosa" 35 "setosa"
"27" "setosa" 24 "setosa"
"28" "setosa" 29 "setosa"
"29" "setosa" 28 "setosa"
"30" "setosa" 31 "setosa"
"31" "setosa" 30 "setosa"
"32" "setosa" 21 "setosa"
"33" "setosa" 34 "setosa"
"34" "setosa" 33 "setosa"
"35" "setosa" 10 "setosa"
"36" "setosa" 50 "setosa"
"37" "setosa" 11 "setosa"
"38" "setosa" 5 "setosa"
"39" "setosa" 9 "setosa"
"40" "setosa" 8 "setosa"
"41" "setosa" 18 "setosa"
"42" "setosa" 9 "setosa"
"43" "setosa" 39 "setosa"
"44" "setosa" 27 "setosa"
"45" "setosa" 47 "setosa"
"46" "setosa" 2 "setosa"
"47" "setosa" 20 "setosa"
"48" "setosa" 4 "setosa"
"49" "setosa" 11 "setosa"
"50" "setosa" 8 "setosa"
"51" "versicolor" 53 "versicolor"
"52" "versicolor" 57 "versicolor"
"53" "versicolor" 51 "versicolor"
"54" "versicolor" 90 "versicolor"
"55" "versicolor" 59 "versicolor"
"56" "versicolor" 67 "versicolor"
"57" "versicolor" 52 "versicolor"
"58" "versicolor" 94 "versicolor"
"59" "versicolor" 76 "versicolor"
"60" "versicolor" 90 "versicolor"
"61" "versicolor" 94 "versicolor"
"62" "versicolor" 97 "versicolor"
"63" "versicolor" 93 "versicolor"
"64" "versicolor" 92 "versicolor"
"65" "versicolor" 83 "versicolor"
"66" "versicolor" 76 "versicolor"
"67" "versicolor" 85 "versicolor"
"68" "versicolor" 93 "versicolor"
"69" "versicolor" 88 "versicolor"
"70" "versicolor" 81 "versicolor"
"71" "versicolor" 139 "virginica"
"72" "versicolor" 98 "versicolor"
"73" "versicolor" 134 "virginica"
"74" "versicolor" 64 "versicolor"
"75" "versicolor" 98 "versicolor"
"76" "versicolor" 66 "versicolor"
"77" "versicolor" 59 "versicolor"
"78" "versicolor" 53 "versicolor"
"79" "versicolor" 92 "versicolor"
"80" "versicolor" 82 "versicolor"
"81" "versicolor" 82 "versicolor"
"82" "versicolor" 81 "versicolor"
"83" "versicolor" 93 "versicolor"
"84" "versicolor" 134 "virginica"
"85" "versicolor" 67 "versicolor"
"86" "versicolor" 57 "versicolor"
"87" "versicolor" 53 "versicolor"
"88" "versicolor" 69 "versicolor"
"89" "versicolor" 96 "versicolor"
"90" "versicolor" 54 "versicolor"
"91" "versicolor" 95 "versicolor"
"92" "versicolor" 64 "versicolor"
"93" "versicolor" 83 "versicolor"
"94" "versicolor" 58 "versicolor"
"95" "versicolor" 100 "versicolor"
"96" "versicolor" 97 "versicolor"
"97" "versicolor" 96 "versicolor"
"98" "versicolor" 75 "versicolor"
"99" "versicolor" 58 "versicolor"
"100" "versicolor" 97 "versicolor"
"101" "virginica" 137 "virginica"
"102" "virginica" 143 "virginica"
"103" "virginica" 126 "virginica"
"104" "virginica" 117 "virginica"
"105" "virginica" 133 "virginica"
"106" "virginica" 123 "virginica"
"107" "virginica" 85 "versicolor"
"108" "virginica" 131 "virginica"
"109" "virginica" 129 "virginica"
"110" "virginica" 144 "virginica"
"111" "virginica" 148 "virginica"
"112" "virginica" 148 "virginica"
"113" "virginica" 140 "virginica"
"114" "virginica" 102 "virginica"
"115" "virginica" 122 "virginica"
"116" "virginica" 149 "virginica"
"117" "virginica" 138 "virginica"
"118" "virginica" 132 "virginica"
"119" "virginica" 123 "virginica"
"120" "virginica" 73 "versicolor"
"121" "virginica" 144 "virginica"
"122" "virginica" 102 "virginica"
"123" "virginica" 106 "virginica"
"124" "virginica" 127 "virginica"
"125" "virginica" 121 "virginica"
"126" "virginica" 130 "virginica"
"127" "virginica" 124 "virginica"
"128" "virginica" 139 "virginica"
"129" "virginica" 133 "virginica"
"130" "virginica" 126 "virginica"
"131" "virginica" 108 "virginica"
"132" "virginica" 118 "virginica"
"133" "virginica" 129 "virginica"
"134" "virginica" 84 "versicolor"
"135" "virginica" 104 "virginica"
"136" "virginica" 131 "virginica"
"137" "virginica" 149 "virginica"
"138" "virginica" 117 "virginica"
"139" "virginica" 128 "virginica"
"140" "virginica" 113 "virginica"
"141" "virginica" 145 "virginica"
"142" "virginica" 146 "virginica"
"143" "virginica" 102 "virginica"
"144" "virginica" 121 "virginica"
"145" "virginica" 141 "virginica"
"146" "virginica" 142 "virginica"
"147" "virginica" 124 "virginica"
"148" "virginica" 111 "virginica"
"149" "virginica" 137 "virginica"
"150" "virginica" 128 "virginica"
