,id,label,parent_label,description,smirks
0,RXNO:0000451,aldehyde Sakurai reaction,"Sakurai reaction, aldehyde or ketone",A carbon-carbon coupling reaction in which an aldehyde reacts with allyltrimethylsilane to form a homoallylic alcohol.,
1,RXNO:0000026,Beckmann rearrangement,rearrangement step,A rearrangement where an oxime rearranges to form an amide. Often there is selective migration of one group.,
2,RXNO:0000447,Duff reaction,formylation,Formylation of a phenol or aromatic amine with hexamethylenetetramine in acidic conditions.,
3,RXNO:0000061,Mukaiyama aldol condensation,aldol condensation,An aldol condensation between an aldehyde or ketone and a silyl enol ether (also known as a ketene silyl acetal) to give a beta-hydroxy carbonyl compound.,
4,RXNO:0000193,Hiyama coupling,carbon-carbon coupling reaction,A carbon-carbon coupling reaction where an organosilane reacts with an organic halide or triflate. It is catalysed by a palladium or nickel complex.,
5,RXNO:0000186,Willgerodt-Kindler reaction,functional group modification,The conversion of an aryl alkyl ketone to an amide using sulfur and dry ammonia or a primary or secondary amine. The amide carbonyl group is always at the end of the alkyl chain.,
6,RXNO:0000474,Auwers synthesis,ring expansion,Ring expansion of a 2-bromo-2-(alpha-bromobenzyl)-1-benzofuran to a flavonol in alcoholic alkali.,
7,RXNO:0000273,retro-Diels-Alder reaction,ring breaking,"The reverse of a [4+2] cycloaddition reaction, in which an unsaturated six-membered ring compound fragments to give a diene and a compound containing a double or triple bond (a dienophile).",
8,RXNO:0000003,Perkin reaction,aldol condensation,An aldol condensation where an aryl aldehyde reacts with an acid anhydride to form a cinnamic acid.,[c:1][C:2](=O)O>>[c:1][C:2]=C(=O)O
9,RXNO:0000330,acetate protection,hydroxyl group protection,A hydroxyl group protection where the hydroxyl oxygen atom is protected by formation of an acetate ester.,
10,RXNO:0000032,Mannich reaction,molecular skeleton joining reaction,"A carbon-carbon coupling reaction where ammonia or an amine reacts with a non-enolisable aldehyde, often methanal, and an enolisable carbonyl compound to form a beta-amino carbonyl compound.",[N:1].[C:2]=O.[C:3][C:4](=O)[C:5]>>[N:1][C:2][C:3][C:4](=O)[C:5]
11,RXNO:0000470,Allan-Robinson flavone synthesis,Allan-Robinson reaction,Reaction of ortho-hydroxyaryl ketones with aromatic carboxylic acid anhydrides to yield a flavone.,
12,RXNO:0000484,deprotection objective,functional modification objective,A functional modification objective that is satisfied by deprotecting some functional group.,
13,RXNO:0000157,Nef reaction,functional group modification,"The conversion of a primary nitroalkane or secondary nitroalkane to an aldehyde or ketone, respectively.",
14,RXNO:0000023,Koerner-Contardi reaction,aromatic substitution step,An aromatic substitution reaction where an aryl diazonium salt reacts with a copper(II) halide to form an aromatic halide.,
15,RXNO:0000277,hydroalumination,hydrometallation,"The reaction of an aluminium alkyl with an alkene, to give an intermediate aluminium species that can give various products after work-up.",
